year,n_changed,crop
1979,,spring_barley_59
1980,,spring_barley_59
1981,,spring_barley_59
1982,,spring_barley_59
1983,,spring_barley_59
1984,,spring_barley_59
1985,,spring_barley_59
1986,,spring_barley_59
1987,,spring_barley_59
1988,,spring_barley_59
1989,,spring_barley_59
1990,,spring_barley_59
1991,,spring_barley_59
1992,,spring_barley_59
1993,,spring_barley_59
1994,,spring_barley_59
1995,,spring_barley_59
1996,,spring_barley_59
1997,,spring_barley_59
1998,,spring_barley_59
1999,,spring_barley_59
2000,,spring_barley_59
2001,,spring_barley_59
2002,,spring_barley_59
2003,,spring_barley_59
2004,,spring_barley_59
2005,,spring_barley_59
2006,,spring_barley_59
2007,,spring_barley_59
2008,,spring_barley_59
2009,,spring_barley_59
2010,,spring_barley_59
2011,,spring_barley_59
2012,,spring_barley_59
2013,,spring_barley_59
2014,,spring_barley_59
2015,,spring_barley_59
2016,,spring_barley_59
2017,,spring_barley_59
2018,,spring_barley_59
