crop,year,n_changed,n_pos,n_neg,n_zeroed,mean_diff,mean_diff_changed,sum_diff,pct_pos,pct_neg
winter_barley_59,1979,2,0,2,2,-0.0031625553447185324,-2.5,-5.0,0.0,100.0
winter_barley_59,1980,3,0,3,2,-0.002530044275774826,-1.3333333333333333,-4.0,0.0,100.0
winter_barley_59,1981,33,0,33,33,-0.02719797596457938,-1.303030303030303,-43.0,0.0,100.0
winter_barley_59,1982,6,1,5,5,-0.008855154965211892,-2.3333333333333335,-14.0,16.666666666666668,83.33333333333333
winter_barley_59,1983,4,1,3,3,-0.001265022137887413,-0.5,-2.0,25.0,75.0
winter_barley_59,1984,8,0,8,8,-0.008222643896268185,-1.625,-13.0,0.0,100.0
winter_barley_59,1985,45,14,31,31,-0.02530044275774826,-0.8888888888888888,-40.0,31.11111111111111,68.88888888888889
winter_barley_59,1986,9,0,9,9,-0.018342820999367487,-3.2222222222222223,-29.0,0.0,100.0
winter_barley_59,1987,78,12,66,66,-0.06396470912599946,-2.9743589743589745,-232.0,15.384615384615385,84.61538461538461
winter_barley_59,1988,72,3,69,69,-0.12460468058191018,-2.736111111111111,-197.0,4.166666666666667,95.83333333333333
winter_barley_59,1989,88,7,81,81,-0.05927763992280121,-2.4431818181818183,-215.0,7.954545454545454,92.04545454545455
winter_barley_59,1990,13,1,12,12,-0.018342820999367487,-2.230769230769231,-29.0,7.6923076923076925,92.3076923076923
winter_barley_59,1991,61,0,61,61,-0.14041745730550284,-3.639344262295082,-222.0,0.0,100.0
winter_barley_59,1992,63,18,45,45,-0.10373181530676787,-2.6031746031746033,-164.0,28.571428571428573,71.42857142857143
winter_barley_59,1993,17,4,13,13,-0.006957621758380772,-0.6470588235294118,-11.0,23.529411764705884,76.47058823529412
winter_barley_59,1994,72,13,59,59,-0.06451612903225806,-1.4166666666666667,-102.0,18.055555555555557,81.94444444444444
winter_barley_59,1995,16,3,13,12,-0.017077798861480076,-1.6875,-27.0,18.75,81.25
winter_barley_59,1996,63,0,63,63,-0.041113219481340925,-1.0317460317460319,-65.0,0.0,100.0
winter_barley_59,1997,43,2,41,41,-0.08349146110056926,-3.0697674418604652,-132.0,4.651162790697675,95.34883720930233
winter_barley_59,1998,57,21,36,36,-0.021229666390956713,-1.3508771929824561,-77.0,36.8421052631579,63.1578947368421
winter_barley_59,1999,21,12,9,9,-0.0008271298593879239,-0.14285714285714285,-3.0,57.142857142857146,42.857142857142854
winter_barley_59,2000,29,3,26,26,-0.04743833017077799,-2.586206896551724,-75.0,10.344827586206897,89.65517241379311
winter_barley_59,2001,15,8,7,7,0.001265022137887413,0.13333333333333333,2.0,53.333333333333336,46.666666666666664
winter_barley_59,2002,100,26,74,74,-0.15433270082226438,-2.44,-244.0,26.0,74.0
winter_barley_59,2003,45,6,39,38,-0.02564102564102564,-2.066666666666667,-93.0,13.333333333333334,86.66666666666667
winter_barley_59,2004,106,26,80,80,-0.15749525616698293,-2.349056603773585,-249.0,24.528301886792452,75.47169811320755
winter_barley_59,2005,91,25,66,65,-0.05596912048524952,-2.230769230769231,-203.0,27.47252747252747,72.52747252747253
winter_barley_59,2006,120,18,102,102,-0.09125999448580094,-2.7583333333333333,-331.0,15.0,85.0
winter_barley_59,2007,36,16,20,20,-0.009098428453267164,-0.9166666666666666,-33.0,44.44444444444444,55.55555555555556
winter_barley_59,2008,66,26,40,40,-0.02564102564102564,-1.4090909090909092,-93.0,39.39393939393939,60.60606060606061
winter_barley_59,2009,78,15,63,62,-0.05927763992280121,-2.7564102564102564,-215.0,19.23076923076923,80.76923076923077
winter_barley_59,2010,55,26,29,29,-0.027830487033523088,-0.8,-44.0,47.27272727272727,52.72727272727273
winter_barley_59,2011,95,32,63,63,-0.042735042735042736,-1.631578947368421,-155.0,33.68421052631579,66.3157894736842
winter_barley_59,2012,58,4,54,54,-0.023711055969120487,-1.4827586206896552,-86.0,6.896551724137931,93.10344827586206
winter_barley_59,2013,41,16,25,25,-0.0027570995312930797,-0.24390243902439024,-10.0,39.02439024390244,60.97560975609756
winter_barley_59,2014,58,10,48,48,-0.026468155500413565,-1.6551724137931034,-96.0,17.24137931034483,82.75862068965517
winter_barley_59,2015,90,15,75,75,-0.07333884753239592,-2.9555555555555557,-266.0,16.666666666666668,83.33333333333333
winter_barley_59,2016,119,37,82,82,-0.07058174800110284,-2.1512605042016806,-256.0,31.092436974789916,68.90756302521008
winter_barley_59,2017,101,35,66,66,-0.13282732447817835,-2.0792079207920793,-210.0,34.65346534653465,65.34653465346534
winter_barley_59,2018,99,46,53,53,-0.04631927212572374,-1.696969696969697,-168.0,46.464646464646464,53.535353535353536
